First,Surname,Sex,Lat,Lon,DOB,Age,Status,CHN,Smoker,Pets,Link,Other
 Harper, Young, Female,51.9405,-8.6179, 1959-07-09,64,To be matched,Stefan Dodds, No, No,,
 Joseph, Turner, Male,51.8003,-8.4467, 1967-01-26,57,To be matched,Stefan Dodds, No, No,,
 Liam, Wilson, Male,51.7858,-8.7636, 1969-06-17,54,Re-match,Henry Kissinger, No, No,,
 Emma, Davis, Female,51.961,-8.3123, 1957-04-02,67,To be matched,Stefan Dodds, No, No,,
 Olivia, Kelly, Female,51.9206,-8.3812, 1965-05-29,58,To be matched,Stefan Dodds, No, No,,
 Noah, Baker, Male,51.9937,-8.4238, 1961-02-15,63,Matched,Stefan Dodds, No, No,,
 Harper, Lewis, Female,51.9656,-8.5487, 1958-11-08,65,To be matched,Stefan Dodds, No, No,,
 Liam, Turner, Male,51.8871,-8.5859, 1964-07-21,59,To be matched,Stefan Dodds, No, No,,
 William, Murphy, Male,51.8908,-8.3521, 1962-08-07,61,Matched,Henry Kissinger, No,Yes,,
 Charlotte, Bennett, Female,51.8111,-8.3267, 1963-09-23,60,Matched,Stefan Dodds, No, No,,
 Sophia, Robinson, Female,51.8959,-8.3769, 1960-10-12,63,To be matched,Stefan Dodds, No, No,,
 Noah, Davis, Male,51.9234,-8.5998, 1956-03-01,68,Matched,Stefan Dodds, No, No,,
John,Doe,Male,53.349805,-6.26031, 1965-08-15,58,Matched,CHN1,No,No,,
Jane,Smith,Female,53.383333,-6.116667, 1958-03-22,66,To be matched,CHN1,Yes,No,,
Michael,Johnson,Male,53.433333,-6.249167, 1962-12-09,61,Matched,CHN1,No,Yes,,
Emily,Brown,Female,53.270944,-6.185111, 1970-06-18,53,Matched,CHN1,No,No,,
David,Williams,Male,53.293251,-6.136006, 1968-09-05,55,Matched,CHN1,No,No,,
Sarah,Anderson,Female,53.321891,-6.236267, 1957-07-30,66,To be matched,CHN1,Yes,No,,
Daniel,Jones,Male,53.344104,-6.267493, 1964-02-14,60,Matched,CHN1,No,No,,
Olivia,Taylor,Female,53.361346,-6.239202, 1959-06-03,64,To be matched,CHN1,No,Yes,,
William,Clark,Male,53.294822,-6.131375, 1966-04-25,57,Matched,CHN1,No,No,,
Sophia,Lewis,Female,53.346614,-6.254211, 1963-10-11,60,To be matched,CHN1,Yes,No,,
Robert,Miller,Male,53.367543,-6.177432, 1958-12-29,65,Matched,CHN1,No,No,,
Ava,Hall,Female,53.305147,-6.187557, 1956-03-08,68,Matched,CHN1,No,No,,
James,Turner,Male,53.379866,-6.166507, 1957-07-17,66,To be matched,CHN1,No,No,,
Mia,White,Female,53.353574,-6.233786, 1960-09-14,63,Matched,CHN1,Yes,No,,
Emma,Adams,Female,53.408371,-6.243257, 1959-01-02,65,To be matched,CHN1,No,Yes,,
Liam,Harris,Male,53.292978,-6.210036, 1967-04-19,56,Matched,CHN1,Yes,No,,
Ella,Scott,Female,53.333056,-6.248611, 1965-11-30,58,Matched,CHN1,No,No,,
Benjamin,Walker,Male,53.350317,-6.243903, 1968-08-20,55,To be matched,CHN1,No,No,,
Sophie,Hill,Female,53.320225,-6.214722, 1963-05-07,60,Matched,CHN1,No,No,,
Lucas,Parker,Male,53.315774,-6.223809, 1957-02-14,67,Matched,CHN1,Yes,No,,
Oliver,Evans,Male,53.377773,-6.236376, 1966-07-06,57,To be matched,CHN1,No,No,,
Evelyn,Wright,Female,53.361945,-6.211356, 1959-10-31,64,Matched,CHN1,No,Yes,,
Charlotte,King,Female,53.365081,-6.254057, 1958-01-15,66,Matched,CHN1,Yes,No,,
Isabella,Moore,Female,52.662109,-8.627634, 1963-03-29,61,Matched,CHN2,No,No,,
Liam,Turner,Male,52.676982,-8.643847, 1956-06-20,67,To be matched,CHN2,No,No,,
Olivia,White,Female,52.675167,-8.62674, 1960-12-11,63,Matched,CHN2,Yes,No,,
Noah,Kelly,Male,52.655177,-8.626119, 1961-09-07,62,To be matched,CHN2,No,Yes,,
Ava,Collins,Female,52.655242,-8.662181, 1966-08-12,57,Matched,CHN2,Yes,No,,
Oliver,Anderson,Male,52.675253,-8.625321, 1965-04-05,58,To be matched,CHN2,No,No,,
Sophia,Martin,Female,52.66721,-8.636158, 1967-11-09,56,Matched,CHN2,No,No,,
Lucas,Hall,Male,52.664708,-8.652235, 1961-02-23,63,Matched,CHN2,Yes,No,,
Emma,Wilson,Female,52.66584,-8.65176, 1964-10-16,59,To be matched,CHN2,No,No,,
Mia,Roberts,Female,52.657497,-8.653924, 1967-07-19,56,Matched,CHN2,No,No,,
Jacob,Green,Male,52.661512,-8.636694, 1962-12-03,61,Matched,CHN2,No,Yes,,
Aria,Bailey,Female,52.674042,-8.642296, 1958-03-18,66,To be matched,CHN2,No,No,,
Ethan,Harris,Male,52.65922,-8.629, 1957-09-14,66,Matched,CHN2,Yes,No,,
Grace,Clark,Female,52.67573,-8.633683, 1964-01-28,60,Matched,CHN2,No,No,,
Mason,Watson,Male,52.656976,-8.624123, 1968-05-07,55,To be matched,CHN2,No,No,,
Lily,Parker,Female,52.660016,-8.65381, 1959-11-02,64,Matched,CHN2,No,No,,
Logan,Adams,Male,52.673196,-8.62433, 1966-08-01,57,Matched,CHN2,Yes,No,,
Sophia,Carter,Female,52.663663,-8.643143, 1962-04-16,61,Matched,CHN2,No,Yes,,
Elijah,Reed,Male,52.664264,-8.648314, 1965-05-25,58,To be matched,CHN2,Yes,No,,
Olivia,Turner,Female,52.661988,-8.635456, 1956-07-12,67,Matched,CHN2,No,No,,
Ella,Wilson,Female,53.285352,-9.039215, 1963-10-24,60,To be matched,CHN3,No,No,,
Liam,Smith,Male,53.274601,-9.016837, 1959-08-10,64,Matched,CHN3,No,No,,
Ava,Brown,Female,53.27676,-9.008012, 1960-03-27,64,To be matched,CHN3,No,No,,
Noah,Jones,Male,53.277661,-9.019191, 1957-04-09,66,Matched,CHN3,Yes,No,,
Isabella,Clark,Female,53.287008,-9.036747, 1964-06-14,59,Matched,CHN3,No,Yes,,
Oliver,Adams,Male,53.284481,-9.027845, 1967-09-27,56,Matched,CHN3,No,No,,
Sophia,Moore,Female,53.274885,-9.040117, 1969-01-30,55,To be matched,CHN3,No,No,,
Lucas,Kelly,Male,53.275771,-9.014574, 1956-02-05,68,Matched,CHN3,No,No,,
Mia,Wilson,Female,53.275611,-9.021476, 1961-03-21,63,To be matched,CHN3,Yes,No,,
Jacob,Roberts,Male,53.283574,-9.037929, 1967-04-15,56,Matched,CHN3,No,No,,
Olivia,Anderson,Female,53.276288,-9.038433, 1969-05-12,54,Matched,CHN3,Yes,No,,
Ethan,Martin,Male,53.282648,-9.027998, 1965-11-08,58,To be matched,CHN3,No,Yes,,
Aria,Hall,Female,53.280747,-9.019503, 1960-08-22,63,Matched,CHN3,No,No,,
Mason,Watson,Male,53.278664,-9.025845, 1958-01-11,66,Matched,CHN3,No,No,,
Lily,Parker,Female,53.277476,-9.033036, 1963-07-01,60,Matched,CHN3,No,No,,
Logan,Reed,Male,53.285647,-9.038138, 1966-02-14,58,To be matched,CHN3,Yes,No,,
Sophia,Carter,Female,53.280902,-9.031294, 1962-09-09,61,Matched,CHN3,No,No,,
Elijah,Turner,Male,53.275492,-9.018819, 1964-11-05,59,To be matched,CHN3,No,No,,
Olivia,Harris,Female,53.276949,-9.015845, 1961-12-19,62,Matched,CHN3,No,Yes,,
William,Moore,Male,52.978414,-6.047194, 1956-10-28,67,To be matched,CHN4,Yes,No,,
Olivia,Smith,Female,52.990781,-6.049432, 1968-03-04,56,Matched,CHN4,No,No,,
Liam,Johnson,Male,52.979586,-6.041276, 1960-06-15,63,Matched,CHN4,No,No,,
Emma,Brown,Female,52.982926,-6.045616, 1959-07-09,64,To be matched,CHN4,No,No,,
James,Williams,Male,52.991873,-6.036964, 1967-01-26,57,Matched,CHN4,No,No,,
Sophia,Anderson,Female,52.97713,-6.042995, 1969-06-17,54,Matched,CHN4,Yes,No,,
Lucas,Jones,Male,52.979733,-6.035609, 1957-04-02,67,Matched,CHN4,No,Yes,,
Ava,Taylor,Female,52.987004,-6.038761, 1965-05-29,58,To be matched,CHN4,No,No,,
Ethan,Clark,Male,52.985977,-6.040398, 1961-02-15,63,Matched,CHN4,No,No,,
Mia,Lewis,Female,52.978664,-6.048336, 1958-11-08,65,Matched,CHN4,No,No,,
Logan,Miller,Male,52.986508,-6.037641, 1964-07-21,59,To be matched,CHN4,Yes,No,,
Oliver,Hall,Male,52.987936,-6.044685, 1962-08-07,61,Matched,CHN4,No,No,,
Charlotte,Scott,Female,52.98703,-6.047194, 1963-09-23,60,Matched,CHN4,No,No,,
Benjamin,Turner,Male,52.986164,-6.041958, 1960-10-12,63,To be matched,CHN4,No,Yes,,
Sophia,Parker,Female,52.985442,-6.04312, 1956-03-01,68,Matched,CHN4,Yes,No,,
William,Adams,Male,52.97909,-6.048336, 1965-08-15,58,Matched,CHN4,No,No,,
Ella,Wilson,Female,52.981814,-6.037984, 1958-03-22,66,Matched,CHN4,No,No,,
Aria,Reed,Female,52.986788,-6.043677, 1962-12-09,61,To be matched,CHN4,No,No,,
Jacob,Carter,Male,52.987318,-6.046628, 1970-06-18,53,Matched,CHN4,No,No,,
Lily,Turner,Female,52.978992,-6.041189, 1968-09-05,55,To be matched,CHN4,Yes,No,,
Oliver,Moore,Male,53.480556,-6.265, 1957-07-30,66,Matched,CHN5,No,Yes,,
Olivia,Smith,Female,53.483333,-6.244444, 1964-02-14,60,Matched,CHN5,No,No,,
Liam,Johnson,Male,53.472222,-6.25, 1959-06-03,64,To be matched,CHN5,No,No,,
Emma,Brown,Female,53.479167,-6.2625, 1966-04-25,57,Matched,CHN5,No,No,,
James,Williams,Male,53.486111,-6.235833, 1963-10-11,60,Matched,CHN5,Yes,No,,
Sophia,Anderson,Female,53.49,-6.255, 1958-12-29,65,To be matched,CHN5,No,No,,
Lucas,Jones,Male,53.484722,-6.241667, 1956-03-08,68,Matched,CHN5,No,No,,
Ava,Taylor,Female,53.490278,-6.235556, 1957-07-17,66,Matched,CHN5,No,Yes,,
Ethan,Clark,Male,53.488333,-6.243611, 1960-09-14,63,To be matched,CHN5,No,No,,
Mia,Lewis,Female,53.4825,-6.230556, 1959-01-02,65,Matched,CHN5,Yes,No,,
Logan,Miller,Male,53.488611,-6.235833, 1967-04-19,56,Matched,CHN5,No,No,,
Oliver,Hall,Male,53.485833,-6.254722, 1965-11-30,58,Matched,CHN5,No,No,,
Charlotte,Scott,Female,53.488611,-6.241944, 1968-08-20,55,To be matched,CHN5,No,No,,
Benjamin,Turner,Male,53.484444,-6.246111, 1963-05-07,60,Matched,CHN5,Yes,No,,
Sophia,Parker,Female,53.491389,-6.250556, 1957-02-14,67,To be matched,CHN5,No,Yes,,
William,Adams,Male,53.487222,-6.2425, 1966-07-06,57,Matched,CHN5,No,No,,
Ella,Wilson,Female,53.489444,-6.237222, 1959-10-31,64,To be matched,CHN5,No,No,,
Aria,Reed,Female,53.482222,-6.249722, 1958-01-15,66,Matched,CHN5,No,No,,
Jacob,Carter,Male,53.484722,-6.248056, 1963-03-29,61,Matched,CHN5,Yes,No,,
Lily,Turner,Female,53.487778,-6.2375, 1956-06-20,67,To be matched,CHN5,No,No,,
Ella,Moore,Female,53.408056,-6.364444, 1960-12-11,63,Matched,CHN6,No,No,,
Liam,Smith,Male,53.403056,-6.406944, 1961-09-07,62,Matched,CHN6,No,Yes,,
Ava,Johnson,Female,53.429444,-6.344167, 1966-08-12,57,To be matched,CHN6,No,No,,
Noah,Brown,Male,53.396389,-6.405278, 1965-04-05,58,Matched,CHN6,Yes,No,,
Isabella,Williams,Female,53.422222,-6.334444, 1967-11-09,56,Matched,CHN6,No,No,,
Oliver,Anderson,Male,53.426111,-6.381667, 1961-02-23,63,To be matched,CHN6,No,No,,
Sophia,Jones,Female,53.412778,-6.384722, 1964-10-16,59,Matched,CHN6,No,No,,
Lucas,Taylor,Male,53.415,-6.403611, 1967-07-19,56,Matched,CHN6,No,No,,
Emma,Clark,Female,53.430833,-6.3475, 1962-12-03,61,To be matched,CHN6,Yes,Yes,,
Mia,Lewis,Female,53.423611,-6.366667, 1958-03-18,66,Matched,CHN6,No,No,,
Logan,Miller,Male,53.419167,-6.352222, 1957-09-14,66,To be matched,CHN6,No,No,,
Oliver,Hall,Male,53.401667,-6.368056, 1964-01-28,60,Matched,CHN6,No,No,,
Aria,Scott,Female,53.407222,-6.401944, 1968-05-07,55,To be matched,CHN6,No,No,,
Ethan,Turner,Male,53.432222,-6.373056, 1959-11-02,64,Matched,CHN6,Yes,No,,
Sophia,Parker,Female,53.417222,-6.391389, 1966-08-01,57,To be matched,CHN6,No,No,,
William,Adams,Male,53.408056,-6.396389, 1962-04-16,61,Matched,CHN6,No,Yes,,
Ella,Wilson,Female,53.403611,-6.365, 1965-05-25,58,To be matched,CHN6,No,No,,
Jacob,Reed,Male,53.4225,-6.366389, 1956-07-12,67,Matched,CHN6,No,No,,
Lily,Carter,Female,53.429167,-6.359444, 1963-10-24,60,Matched,CHN6,Yes,No,,
Oliver,Moore,Male,53.414815,-6.398434, 1959-08-10,64,To be matched,CHN7,No,No,,
Olivia,Smith,Female,53.423407,-6.392043, 1960-03-27,64,Matched,CHN7,No,No,,
Liam,Johnson,Male,53.428811,-6.382856, 1957-04-09,66,To be matched,CHN7,No,No,,
Emma,Brown,Female,53.432044,-6.375267, 1964-06-14,59,Matched,CHN7,No,Yes,,
James,Williams,Male,53.433234,-6.398834, 1967-09-27,56,Matched,CHN7,Yes,No,,
Sophia,Anderson,Female,53.425684,-6.381523, 1969-01-30,55,To be matched,CHN7,No,No,,
Lucas,Jones,Male,53.428314,-6.386815, 1956-02-05,68,Matched,CHN7,No,No,,
Ava,Taylor,Female,53.427157,-6.396249, 1961-03-21,63,To be matched,CHN7,No,No,,
Ethan,Clark,Male,53.423804,-6.393819, 1967-04-15,56,Matched,CHN7,No,No,,
Mia,Lewis,Female,53.429688,-6.38339, 1969-05-12,54,Matched,CHN7,Yes,No,,
Logan,Miller,Male,53.429222,-6.388556, 1965-11-08,58,To be matched,CHN7,No,Yes,,
Oliver,Hall,Male,53.430123,-6.399832, 1960-08-22,63,Matched,CHN7,No,No,,
Charlotte,Scott,Female,53.427761,-6.394124, 1958-01-11,66,Matched,CHN7,No,No,,
Benjamin,Turner,Male,53.42867,-6.388316, 1963-07-01,60,To be matched,CHN7,No,No,,
Sophia,Parker,Female,53.428692,-6.398477, 1966-02-14,58,Matched,CHN7,Yes,No,,
William,Adams,Male,53.427292,-6.397727, 1962-09-09,61,Matched,CHN7,No,No,,
Ella,Wilson,Female,53.430819,-6.384906, 1964-11-05,59,To be matched,CHN7,No,No,,
Aria,Reed,Female,53.427148,-6.387045, 1961-12-19,62,Matched,CHN7,No,Yes,,
Jacob,Carter,Male,53.428613,-6.396935, 1956-10-28,67,Matched,CHN7,No,No,,
Lily,Turner,Female,53.427951,-6.394753, 1968-03-04,56,To be matched,CHN7,Yes,No,,
Ella,Moore,Female,52.660587,-7.257929, 1960-06-15,63,Matched,CHN8,No,No,,
Liam,Smith,Male,52.661394,-7.270611, 1959-07-09,64,To be matched,CHN8,No,No,,
Ava,Johnson,Female,52.653124,-7.270715, 1967-01-26,57,Matched,CHN8,No,No,,
Noah,Brown,Male,52.656885,-7.259193, 1969-06-17,54,To be matched,CHN8,No,No,,
Isabella,Williams,Female,52.659156,-7.26213, 1957-04-02,67,Matched,CHN8,Yes,Yes,,
Oliver,Anderson,Male,52.657107,-7.257925, 1965-05-29,58,To be matched,CHN8,No,No,,
Sophia,Jones,Female,52.660546,-7.270239, 1961-02-15,63,Matched,CHN8,No,No,,
Lucas,Taylor,Male,52.658107,-7.271734, 1958-11-08,65,To be matched,CHN8,No,No,,
Emma,Clark,Female,52.659235,-7.265594, 1964-07-21,59,Matched,CHN8,No,No,,
Mia,Lewis,Female,52.660015,-7.260235, 1962-08-07,61,Matched,CHN8,Yes,No,,
Logan,Miller,Male,52.660211,-7.270131, 1963-09-23,60,To be matched,CHN8,No,No,,
Oliver,Hall,Male,52.655401,-7.267589, 1960-10-12,63,Matched,CHN8,No,Yes,,
Charlotte,Scott,Female,52.660178,-7.263926, 1956-03-01,68,Matched,CHN8,No,No,,
Benjamin,Turner,Male,52.657234,-7.267289, 1965-08-15,58,To be matched,CHN8,No,No,,
Sophia,Parker,Female,52.653947,-7.267382, 1958-03-22,66,Matched,CHN8,Yes,No,,
William,Adams,Male,52.654104,-7.270025, 1962-12-09,61,Matched,CHN8,No,No,,
Ella,Wilson,Female,52.658334,-7.259228, 1970-06-18,53,To be matched,CHN8,No,No,,
Aria,Reed,Female,52.653657,-7.261209, 1968-09-05,55,Matched,CHN8,No,No,,
Jacob,Carter,Male,52.655128,-7.259825, 1957-07-30,66,To be matched,CHN8,No,Yes,,
Lily,Turner,Female,52.658771,-7.270073, 1964-02-14,60,Matched,CHN8,Yes,No,,
Oliver,Moore,Male,51.895356,-8.473343, 1959-06-03,64,To be matched,CHN9,No,No,,
Olivia,Smith,Female,51.891111,-8.480556, 1966-04-25,57,Matched,CHN9,No,No,,
Liam,Johnson,Male,51.888333,-8.487222, 1963-10-11,60,Matched,CHN9,No,No,,
Emma,Brown,Female,51.892222,-8.476111, 1958-12-29,65,To be matched,CHN9,No,No,,
James,Williams,Male,51.894444,-8.465278, 1956-03-08,68,Matched,CHN9,Yes,No,,
Sophia,Anderson,Female,51.889167,-8.474444, 1957-07-17,66,Matched,CHN9,No,Yes,,
Lucas,Jones,Male,51.893333,-8.4825, 1960-09-14,63,To be matched,CHN9,No,No,,
Ava,Taylor,Female,51.891944,-8.468333, 1959-01-02,65,Matched,CHN9,No,No,,
Ethan,Clark,Male,51.895833,-8.469444, 1967-04-19,56,Matched,CHN9,No,No,,
Mia,Lewis,Female,51.893611,-8.479722, 1965-11-30,58,Matched,CHN9,Yes,No,,
Logan,Miller,Male,51.896111,-8.481111, 1968-08-20,55,To be matched,CHN9,No,No,,
Oliver,Hall,Male,51.890833,-8.470833, 1963-05-07,60,Matched,CHN9,No,No,,
Charlotte,Scott,Female,51.892778,-8.474444, 1957-02-14,67,To be matched,CHN9,No,Yes,,
Benjamin,Turner,Male,51.8975,-8.471667, 1966-07-06,57,Matched,CHN9,No,No,,
Sophia,Parker,Female,51.894167,-8.480833, 1959-10-31,64,To be matched,CHN9,Yes,No,,
William,Adams,Male,51.896667,-8.467222, 1958-01-15,66,Matched,CHN9,No,No,,
Ella,Wilson,Female,51.891389,-8.466111, 1963-03-29,61,Matched,CHN9,No,No,,
Aria,Reed,Female,51.893611,-8.473056, 1956-06-20,67,To be matched,CHN9,No,No,,
Jacob,Carter,Male,51.892222,-8.476389, 1960-12-11,63,Matched,CHN9,No,No,,
Lily,Turner,Female,51.895556,-8.475556, 1961-09-07,62,To be matched,CHN9,Yes,Yes,,
Oliver,Moore,Male,53.345278,-6.26, 1966-08-12,57,Matched,CHN10,No,No,,
Olivia,Smith,Female,53.35,-6.257222, 1965-04-05,58,To be matched,CHN10,No,No,,
Liam,Johnson,Male,53.348611,-6.252222, 1967-11-09,56,Matched,CHN10,No,No,,
Emma,Brown,Female,53.343333,-6.258611, 1961-02-23,63,Matched,CHN10,No,No,,
James,Williams,Male,53.349167,-6.259167, 1964-10-16,59,To be matched,CHN10,Yes,No,,
Sophia,Anderson,Female,53.347222,-6.254444, 1967-07-19,56,Matched,CHN10,No,No,,
Lucas,Jones,Male,53.342778,-6.256111, 1962-12-03,61,Matched,CHN10,No,Yes,,
Ava,Taylor,Female,53.341389,-6.259722, 1958-03-18,66,To be matched,CHN10,No,No,,
Ethan,Clark,Male,53.346389,-6.251944, 1957-09-14,66,Matched,CHN10,No,No,,
Mia,Lewis,Female,53.349722,-6.258889, 1964-01-28,60,To be matched,CHN10,Yes,No,,
Logan,Miller,Male,53.345,-6.253333, 1968-05-07,55,Matched,CHN10,No,No,,
Oliver,Hall,Male,53.348611,-6.257222, 1959-11-02,64,To be matched,CHN10,No,No,,
Charlotte,Scott,Female,53.347778,-6.255, 1966-08-01,57,Matched,CHN10,No,No,,
Benjamin,Turner,Male,53.346111,-6.253611, 1962-04-16,61,Matched,CHN10,No,Yes,,
Sophia,Parker,Female,53.349444,-6.257222, 1965-05-25,58,To be matched,CHN10,Yes,No,,
William,Adams,Male,53.345556,-6.251111, 1965-08-15,58,Matched,CHN10,No,No,,
Ella,Wilson,Female,53.342222,-6.2525, 1958-03-22,66,To be matched,CHN10,No,No,,
Aria,Reed,Female,53.346944,-6.255833, 1962-12-09,61,Matched,CHN10,No,No,,
Jacob,Carter,Male,53.3475,-6.256389, 1970-06-18,53,Matched,CHN10,No,No,,
