Lat,Lon,First,Surname,DOB,Age,Smoker,Pets,Sex,Status,SC,Link
51.9643,-8.7585, Olivia, Robinson, 1956-10-28,85,Yes, No, Female,Matched,Stefan Dodds,
51.9512,-8.5522, William, Adams, 1968-03-04,73, No, No, Male,Matched,Stefan Dodds,
51.7755,-8.6356, Emma, Hill, 1960-06-15,82, No, No, Female,Matched,Stefan Dodds,
51.9405,-8.6179, Harper, Young, 1959-07-09,84, No, No, Female,To be matched,Stefan Dodds,
51.8003,-8.4467, Joseph, Turner, 1967-01-26,75, No, No, Male,To be matched,Stefan Dodds,
51.7858,-8.7636, Liam, Wilson, 1969-06-17,72, No, No, Male,Re-match,Henry Kissinger,
51.961,-8.3123, Emma, Davis, 1957-04-02,84, No, No, Female,To be matched,Stefan Dodds,
51.9206,-8.3812, Olivia, Kelly, 1965-05-29,76, No, No, Female,To be matched,Stefan Dodds,
51.9937,-8.4238, Noah, Baker, 1961-02-15,80, No, No, Male,Matched,Stefan Dodds,
51.9656,-8.5487, Harper, Lewis, 1958-11-08,83, No, No, Female,To be matched,Stefan Dodds,
51.8871,-8.5859, Liam, Turner, 1964-07-21,78, No, No, Male,To be matched,Stefan Dodds,
51.8908,-8.3521, William, Murphy, 1962-08-07,79, No,Yes, Male,Matched,Henry Kissinger,
51.8111,-8.3267, Charlotte, Bennett, 1963-09-23,78, No, No, Female,Matched,Stefan Dodds,
51.8959,-8.3769, Sophia, Robinson, 1960-10-12,80, No, No, Female,To be matched,Stefan Dodds,
51.9234,-8.5998, Noah, Davis, 1956-03-01,86, No, No, Male,Matched,Stefan Dodds,
